Tau_CR,Tau_DH
0.31647637486457825,5.0
0.30645906925201416,5.0
0.2964428663253784,0.398134708404541
0.28642770648002625,0.3043258488178253
0.2764134407043457,0.4441365897655487
0.2664002776145935,0.32091987133026123
0.25638794898986816,0.32091987133026123
0.24637645483016968,0.3572050929069519
0.23636578023433685,0.2879231870174408
0.22635596990585327,0.31000202894210815
0.21634681522846222,0.33123165369033813
0.2063385248184204,0.2717578709125519
0.19633075594902039,0.3478214740753174
