Tau_CR,Tau_DH
0.31476569175720215,5.0
0.30475449562072754,0.4070402979850769
0.29474392533302307,0.3799007534980774
0.2847340404987335,0.34643852710723877
0.27472472190856934,0.3392520248889923
0.2647159695625305,0.28843727707862854
0.25470778346061707,0.32837921380996704
0.2447001188993454,0.31072768568992615
0.2346929907798767,0.291856586933136
0.224686399102211,0.30976229906082153
0.21468017995357513,0.23605352640151978
0.20467451214790344,0.2685618996620178
0.1946692168712616,0.24968461692333221
