Tau_CM,Tau_DH
0.36465632915496826,5.0
0.3546489477157593,0.30636489391326904
0.3446419835090637,0.30636489391326904
0.3346354067325592,0.3063226342201233
0.3246292173862457,0.28972721099853516
0.3146233856678009,0.28972721099853516
0.30461791157722473,0.2917439639568329
0.2946127653121948,0.28804153203964233
0.2846079170703888,0.28073015809059143
0.2746034264564514,0.27680322527885437
0.2645992040634155,0.27202150225639343
0.2545952796936035,0.26852312684059143
0.2445915937423706,0.2596719563007355
0.23458822071552277,0.2562282979488373
0.22458505630493164,0.2526100277900696
0.214582160115242,0.24432779848575592
0.2045794576406479,0.23890891671180725
0.19457696378231049,0.23890891671180725
