Plane_Angle,V_angle,V_mag
0,90,2
0,90,2
0,90,2.087
0,90,2.157
0,90,2.198
0,90,2.217
0,90,2.284
0,90,2.343
0,90,2.371
0,90,2.484
0,90,2.533
0,90,2.571
0,90,2.629
0,90,2.682
0,90,2.711
0,90,2.774
0,90,2.842
0,90,2.881
0,90,2.915
0,90,3
0,90,3.097
0,90,3.141
0,90,3.2
0,90,3.361
0,90,3.486
0,90,3.509
0,90,3.572
0,90,3.423
0,90,3.486
0,90,3.519
0,90,3.572
0,90,3.607
0,90,3.675
0,90,3.717
0,90,3.771
0,90,3.814
0,90,3.867
0,90,3.91
0,90,4
0,90,4
