Tau_CM,Tau_DH
0.3673340976238251,0.40940484404563904
0.3573157787322998,0.3767758905887604
0.3472984731197357,0.38547632098197937
0.3472984731197357,0.38547632098197937
0.3372822403907776,0.4253586232662201
0.31725287437438965,0.4221552610397339
0.3072396218776703,0.38489842414855957
0.3072396218776703,0.38489842414855957
0.2872154414653778,0.3824973404407501
0.27720481157302856,0.3919185698032379
0.2671947479248047,0.3919185698032379
0.2571853995323181,0.4053399860858917
0.24717694520950317,0.4163655638694763
