V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
2,55,0,0,--,3,False,True,False,--,0.503,-85.909,2,55.035,2,55.035,0.25,0.377,1.856,0.409,0.617,--,-133.979,133.979,-18.139,0.096,0.731,0,0,0,0,--,0.857,[0.992 1.    0.772 0.466 0.67  0.867 1.   ],[ 0.488 -0.269  0.018  0.12 ],[-90. -80.],--,1,0,0,0,0,0
2,60,0,0,--,3,False,True,False,--,0.501,-86.019,1.999,60.036,1.999,60.036,0.247,0.367,1.569,0.428,0.636,--,-134.164,134.164,-18.164,-0.054,0.825,0,0,0,0,--,0.694,[0.995 1.    0.744 0.435 0.669 0.125 1.   ],[ 0.493 -0.269  0.015  0.103],[-90. -80.],--,1,0,0,0,0,0
2,65,0,0,--,3,False,True,False,--,0.504,-86.134,2,65.042,2,65.042,0.243,0.358,1.301,0.441,0.649,--,-124.011,124.011,-17.913,-0.162,1.034,0,0,0,0,--,0.701,[0.999 1.    0.738 0.392 0.749 0.141 1.   ],[ 0.499 -0.278  0.012  0.085],[-90. -80.],--,1,0,0,0,0,0
2,70,0,0,--,3,False,True,False,--,0.514,-86.656,2.001,70.045,2.001,70.045,0.236,0.346,1.048,0.443,0.651,--,-115.643,115.643,-17.732,-0.283,1.214,0,0,0,0,--,0.702,[1.    1.    0.698 0.357 0.809 0.154 1.   ],[ 0.51  -0.298  0.009  0.068],[-90. -80.],--,1,0,0,0,0,0
2,75,0,0,--,3,False,True,False,--,0.529,-86.504,2.001,75.048,2.001,75.048,0.233,0.34,0.784,0.45,0.658,--,-114.381,114.381,-17.617,-0.435,1.279,0,0,0,0,--,0.699,[1.    1.    0.676 0.338 0.818 0.156 1.   ],[ 0.53  -0.277  0.009  0.064],[-90. -80.],--,1,0,0,0,0,0
2,80,0,0,--,3,False,True,False,--,0.513,-86.211,2.002,80.044,2.002,80.044,0.242,0.348,0.505,0.477,0.686,--,-124.135,124.135,-17.93,-0.662,1.193,0,0,0,0,--,0.723,[1.    1.    1.    0.337 0.748 0.141 1.   ],[ 0.517 -0.208  0.011  0.07 ],[-90. -80.],--,1,0,0,0,0,0
2,85,0,0,--,3,False,True,False,--,0.508,-86.949,2.002,85.034,2.002,85.034,0.241,0.345,0.252,0.48,0.688,--,-125.31,125.31,-18.092,-0.85,1.217,0,0,0,0,--,0.72,[0.999 1.    1.    0.324 0.739 0.139 1.   ],[ 0.515 -0.167  0.011  0.071],[-90. -80.],--,1,0,0,0,0,0
2,90,0,0,--,3,False,True,False,--,0.504,-84.939,2.004,90.031,2.004,90.031,0.238,0.341,-0.002,0.476,0.684,--,-122.117,122.117,-17.651,-0.982,1.222,0,0,0,0,--,0.722,[0.999 1.    1.    0.304 0.763 0.144 1.   ],[ 0.499 -0.047  0.012  0.074],[-90. -80.],--,1,0,0,0,0,0
2.5,15,0,0,--,0,False,False,False,--,0.504,-89.488,2.495,14.952,2.495,14.952,0.25,0.574,6.528,0.161,0.369,--,0,0,0,0,0,0,0,0,0,--,0.051,[0.971 1.    0.    0.    0.    0.    0.   ],[ 0.489 -0.876  0.017  0.185],[-90. -80.],--,0,0,0,0,1,0
2.5,20,0,0,--,0,False,False,False,--,0.501,-89.236,2.496,19.914,2.496,19.914,0.25,0.495,5.577,0.213,0.421,--,0,0,0,0,0,0,0,0,0,--,0.052,[0.977 1.    0.    0.    0.    0.    0.   ],[ 0.484 -0.805  0.019  0.182],[-90. -80.],--,0,0,0,0,1,0
2.5,25,0,0,--,3,False,True,False,--,0.53,-89.567,2.498,24.97,2.498,24.97,0.227,0.425,5.059,0.24,0.448,--,-118.863,118.863,-18.277,1.249,0.41,0,0,0,0,--,0.848,[0.993 1.    0.659 0.8   0.787 0.658 1.   ],[ 0.535 -0.826  0.015  0.143],[-90. -80.],--,1,0,0,0,0,0
2.5,30,0,0,--,3,False,True,False,--,0.507,-88.344,2.498,29.976,2.498,29.976,0.248,0.415,4.178,0.31,0.518,--,-138.154,138.154,-18.682,1.063,0.339,0,0,0,0,--,0.921,[0.988 1.    0.85  0.917 0.636 0.924 1.   ],[ 0.48  -0.642  0.021  0.166],[-90. -80.],--,1,0,0,0,0,0
2.5,35,0,0,--,3,False,True,False,--,0.504,-87.803,2.498,34.98,2.498,34.98,0.235,0.38,3.76,0.336,0.544,--,-126.66,126.66,-18.28,1.005,0.656,0,0,0,0,--,0.854,[0.995 1.    0.606 0.747 0.729 0.766 1.   ],[ 0.511 -0.642  0.017  0.137],[-90. -80.],--,1,0,0,0,0,0
2.5,40,0,0,--,0,False,False,False,--,0.591,-83.314,2.499,40.023,2.499,40.023,0.337,0.466,2.553,0.541,0.749,--,0,0,0,0,0,0,0,0,0,--,0.045,[0.868 0.805 0.    0.    0.    0.    0.   ],[ 0.192 -0.013  0.062  0.332],[-90. -80.],--,0,0,0,0,1,0
