V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_CM_trg,Theta_x_CM_trg,Tau_DH_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
2.0,85.0,0.0,0,--,3,False,True,False,--,0.507,-84.572,2.002,85.043,2.002,85.043,0.226,0.295,0.294,0.277,0.331,0.262,0.452,0.66,--,-111.553,111.553,-17.2,-0.739,1.332,0.0,0.0,0.0,0.0,--,0.708,[1.    1.    0.767 0.302 0.837 0.16  1.   ],[0.545 0.09  0.014 0.031],[-90. -80.],--,1,0,0,0,0,0
2.0,90.0,0.0,0,--,3,True,True,False,--,0.53,-84.629,2.004,90.027,2.004,90.027,0.204,0.272,-0.002,0.27,0.308,-0.002,0.409,0.617,--,-101.903,101.903,-16.708,-0.837,1.453,0.0,0.0,0.0,0.0,--,0.605,[1.    1.    0.726 0.272 0.894 0.175 0.75 ],[0.556 0.075 0.014 0.03 ],[-90. -80.],--,0,1,0,0,0,0
2.5,15.0,0.0,0,--,3,False,True,False,--,0.707,-85.611,2.497,14.948,2.497,14.948,0.169,0.381,9.836,0.618,0.493,7.604,0.109,0.317,--,-113.073,113.073,-17.427,1.48,-0.014,0.0,0.0,0.0,0.0,--,0.826,[0.996 1.    0.484 0.882 0.827 0.579 1.   ],[ 0.555 -0.107  0.018  0.017],[-90. -80.],--,1,0,0,0,0,0
2.5,20.0,0.0,0,--,4,False,True,False,--,0.688,-86.129,2.497,19.946,2.497,19.946,0.201,0.361,7.632,0.615,0.446,6.184,0.172,0.38,--,-124.003,124.003,-17.913,1.342,0.073,0.0,0.0,0.0,0.0,--,0.848,[0.995 1.    0.428 0.919 0.749 0.729 1.   ],[ 0.637 -0.081  0.013  0.013],[-90. -80.],--,1,0,0,0,0,0
2.5,25.0,0.0,0,--,3,False,True,False,--,0.654,-86.245,2.498,24.959,2.498,24.959,0.202,0.331,6.493,0.593,0.399,5.382,0.213,0.421,--,-113.999,113.999,-17.561,1.318,0.399,0.0,0.0,0.0,0.0,--,0.803,[0.997 1.    0.353 0.774 0.821 0.591 1.   ],[ 0.649 -0.205  0.009  0.01 ],[-90. -80.],--,1,0,0,0,0,0
2.5,30.0,0.0,0,--,3,False,True,False,--,0.598,-86.472,2.496,29.946,2.496,29.946,0.215,0.325,5.346,0.527,0.382,4.539,0.268,0.477,--,-114.478,114.478,-17.616,1.209,0.59,0.0,0.0,0.0,0.0,--,0.797,[0.999 1.    0.35  0.708 0.817 0.598 1.   ],[ 0.609 -0.271  0.011  0.013],[-90. -80.],--,1,0,0,0,0,0
2.5,35.0,0.0,0,--,3,False,True,False,--,0.581,-86.622,2.496,34.967,2.496,34.967,0.22,0.315,4.534,0.505,0.366,3.91,0.315,0.523,--,-114.59,114.59,-17.64,1.089,0.776,0.0,0.0,0.0,0.0,--,0.788,[0.999 1.    0.338 0.631 0.817 0.6   1.   ],[ 0.562 -0.358  0.012  0.017],[-90. -80.],--,1,0,0,0,0,0
2.5,40.0,0.0,0,--,3,False,True,False,--,0.531,-86.502,2.499,40.016,2.499,40.016,0.225,0.309,3.85,0.407,0.354,3.363,0.361,0.569,--,-114.381,114.381,-17.616,0.962,0.953,0.0,0.0,0.0,0.0,--,0.772,[1.    1.    0.273 0.55  0.818 0.597 1.   ],[ 0.547 -0.297  0.014  0.019],[-90. -80.],--,1,0,0,0,0,0
2.5,45.0,0.0,0,--,3,False,True,False,--,0.556,-85.745,2.499,45.016,2.499,45.016,0.215,0.292,3.423,0.361,0.333,3.004,0.38,0.588,--,-113.271,113.271,-17.453,0.831,1.11,0.0,0.0,0.0,0.0,--,0.764,[0.999 1.    0.277 0.489 0.825 0.581 1.   ],[ 0.558 -0.107  0.013  0.021],[-90. -80.],--,1,0,0,0,0,0
2.5,50.0,0.0,0,--,3,False,True,False,--,0.507,-85.508,2.499,50.012,2.499,50.012,0.246,0.317,2.646,0.367,0.355,2.365,0.471,0.679,--,-123.015,123.015,-17.776,0.613,1.134,0.0,0.0,0.0,0.0,--,0.803,[0.995 1.    0.45  0.493 0.757 0.716 1.   ],[ 0.468 -0.193  0.021  0.04 ],[-90. -80.],--,1,0,0,0,0,0
