Tau_CM,Tau_DH
0.5306901931762695,5.0
0.5306901931762695,5.0
0.5206705927848816,0.4506288170814514
0.5106517672538757,0.4439722001552582
0.5006337761878967,0.4396226108074188
0.49061650037765503,0.4316423833370209
0.48059991002082825,0.42102113366127014
0.47058412432670593,0.4267280399799347
0.46056896448135376,0.4165058434009552
0.4505545198917389,0.4168841540813446
0.44054073095321655,0.405805379152298
0.43052753806114197,0.3865845799446106
0.4205150306224823,0.39488673210144043
0.4105031192302704,0.38167062401771545
0.40049177408218384,0.3849651515483856
0.39048099517822266,0.3656595051288605
0.38047078251838684,0.3560273349285126
0.3704610764980316,0.3563045859336853
0.360451877117157,0.348724901676178
0.35044315457344055,0.3411523103713989
0.3404349684715271,0.32654067873954773
0.3304271996021271,0.3172363340854645
0.32041987776756287,0.31611305475234985
0.3104129731655121,0.30427125096321106
0.30040648579597473,0.3004607558250427
0.2904004454612732,0.297073632478714
0.2803947329521179,0.2792309820652008
0.2703893780708313,0.2766664922237396
0.2603844106197357,0.2518467903137207
0.250379741191864,0.26134398579597473
0.24037541449069977,0.2487516552209854
0.2303713858127594,0.23476818203926086
0.2203676551580429,0.22165563702583313
0.2103641778230667,0.21696583926677704
0.20036101341247559,0.21236976981163025
0.19035808742046356,0.20738860964775085
0.18035537004470825,0.19003106653690338
0.17035290598869324,0.1829054057598114
0.16035068035125732,0.18558748066425323
0.15034863352775574,0.16715306043624878
0.14034682512283325,0.17705747485160828
0.13034512102603912,0.19369830191135406
0.1203436329960823,0.19085904955863953
0.1103423461318016,0.18433190882205963
0.10034115612506866,0.1636243313550949
0.09034022688865662,0.17710332572460175
0.08033929765224457,0.18817047774791718
0.07033858448266983,0.17837774753570557
0.06033793464303017,0.16654033958911896
0.05033749341964722,0.1258719116449356
0.04033707454800606,0.13610748946666718
