Tau_CM,Tau_DH
0.3154814541339874,5.0
0.3154814541339874,5.0
0.30547478795051575,0.3218933939933777
0.2954685091972351,0.32262086868286133
0.28546255826950073,0.29938146471977234
0.2754569947719574,0.2922690510749817
0.2554468512535095,0.29235127568244934
0.2554468512535095,0.27996930480003357
0.2354380041360855,0.2569507956504822
0.2354380041360855,0.2569507956504822
0.22543403506278992,0.2510342597961426
0.2154303640127182,0.2469395250082016
0.19542375206947327,0.23330342769622803
0.18542085587978363,0.22407816350460052
0.18542085587978363,0.21782322227954865
0.1754181683063507,0.2193537950515747
0.1654156893491745,0.20592506229877472
0.1554134488105774,0.19666913151741028
0.1454114317893982,0.1844015270471573
