Tau_CM,Tau_DH
0.484215646982193,5.0
0.484215646982193,5.0
0.47420018911361694,0.3866330087184906
0.46418535709381104,0.38420867919921875
0.4541710913181305,0.373309463262558
0.4441574811935425,0.3569628894329071
0.4341444969177246,0.3806836009025574
0.42413198947906494,0.3442508578300476
0.4141201078891754,0.3442922830581665
0.4041087329387665,0.3469194769859314
0.3940979242324829,0.3279954493045807
0.38408762216567993,0.32749143242836
0.37407776713371277,0.32446712255477905
0.3640684485435486,0.3128969073295593
0.3540595471858978,0.311196893453598
0.34405115246772766,0.30267664790153503
0.3340432047843933,0.2941010296344757
0.3240356743335724,0.2869928181171417
0.3140285313129425,0.2866859436035156
0.30402177572250366,0.27962449193000793
0.29401540756225586,0.2708534002304077
0.2840094566345215,0.2650147080421448
0.2740038335323334,0.2679843008518219
0.2639985680580139,0.2579860985279083
0.2539936304092407,0.2522953748703003
0.23398463428020477,0.24661579728126526
0.23398463428020477,0.2496943175792694
0.2239806354045868,0.24169261753559113
0.2139768749475479,0.239749476313591
0.2039734125137329,0.22638629376888275
0.19397017359733582,0.2202916145324707
