Tau_CR,Tau_DH
0.3365836441516876,5.0
0.3365836441516876,0.3328322172164917
0.3265765309333801,0.3194953501224518
0.31656986474990845,0.3386765122413635
0.30656352639198303,0.299058198928833
0.29655754566192627,0.3000659942626953
0.2865520119667053,0.3026989996433258
0.2765466868877411,0.2865411639213562
0.2665417492389679,0.28123533725738525
0.2565371096134186,0.26408836245536804
0.23652872443199158,0.2568213939666748
0.23652872443199158,0.26353785395622253
0.2265249341726303,0.24980612099170685
0.21652139723300934,0.22691340744495392
0.20651815831661224,0.22803862392902374
0.19651514291763306,0.20765741169452667
0.18651236593723297,0.20701411366462708
0.1765097975730896,0.19570831954479218
0.15650531649589539,0.18153074383735657
0.15650531649589539,0.18153074383735657
0.14650335907936096,0.1709027737379074
