Tau_CR,Tau_DH
0.3389970660209656,5.0
0.3389970660209656,5.0
0.3289808928966522,0.36749207973480225
0.3189655542373657,0.44468024373054504
0.30895116925239563,0.40703609585762024
0.29893770813941956,0.3665515184402466
0.2889249920845032,0.3481193482875824
0.2789131700992584,0.29606786370277405
0.268902063369751,0.34135890007019043
0.2588917016983032,0.3429436981678009
0.24888208508491516,0.31633859872817993
0.23887307941913605,0.3201639950275421
0.22886472940444946,0.3106754422187805
0.2188570201396942,0.2811577022075653
0.2088499218225479,0.33311527967453003
0.19884330034255981,0.27892979979515076
0.18883730471134186,0.29798007011413574
0.1788317859172821,0.22673235833644867
0.16882666945457458,0.2393532544374466
0.15882201492786407,0.2706565856933594
0.14881792664527893,0.26505985856056213
