Tau_CM,Tau_DH
0.537810742855072,5.0
0.5277925729751587,0.44697582721710205
0.5177749991416931,0.4553926885128021
0.5077581405639648,0.4452320635318756
0.4977419972419739,0.4307743310928345
0.4877264201641083,0.434874951839447
0.4777114987373352,0.4372057020664215
0.46769726276397705,0.4156423807144165
0.4576835632324219,0.41730859875679016
0.44767045974731445,0.41730859875679016
0.4376579225063324,0.41075894236564636
0.4276459813117981,0.4180229604244232
0.4176345467567444,0.392385870218277
0.40762367844581604,0.3882259726524353
0.3976132869720459,0.37927696108818054
0.38760340213775635,0.38092705607414246
0.3775940239429474,0.3807779550552368
0.36758509278297424,0.3617843687534332
0.3575766384601593,0.3491419553756714
0.3475685715675354,0.34741857647895813
0.3375609815120697,0.3550211191177368
0.32755380868911743,0.3318960964679718
0.3175470232963562,0.3241385817527771
0.3075405955314636,0.30960261821746826
0.2975345551967621,0.3258145749568939
0.2875288426876068,0.29061296582221985
0.2775235176086426,0.28707650303840637
0.2675185203552246,0.2905937135219574
0.25751379132270813,0.27909955382347107
0.2475094348192215,0.2745407819747925
0.23750531673431396,0.2581660747528076
0.2275015264749527,0.23673054575920105
0.21749797463417053,0.2411382496356964
0.20749467611312866,0.2310396134853363
0.1974916309118271,0.22027075290679932
0.18748880922794342,0.20282649993896484
0.17748624086380005,0.18492832779884338
0.1674838662147522,0.19731290638446808
0.15748171508312225,0.19314266741275787
0.14747972786426544,0.17210142314434052
0.13747794926166534,0.17507871985435486
0.12747636437416077,0.15004068613052368
0.11747489124536514,0.1639605015516281
0.10747362673282623,0.16966235637664795
0.09747255593538284,0.16192923486232758
0.08747152984142303,0.15243956446647644
0.07747067511081696,0.15295684337615967
0.06746996939182281,0.15282398462295532
0.05746935307979584,0.2049621343612671
0.0474688746035099,0.1661316305398941
