Tau_CM,Tau_DH
0.5352215766906738,5.0
0.5252044796943665,5.0
0.5151879787445068,0.4840248227119446
0.5051721334457397,0.48151350021362305
0.495156854391098,0.4653046131134033
0.48514223098754883,0.46901652216911316
0.4751282334327698,0.4606015682220459
0.4651147425174713,0.4577426314353943
0.455101877450943,0.4348355233669281
0.44508954882621765,0.44239264726638794
0.4350777268409729,0.42986905574798584
0.4250664710998535,0.4261997640132904
0.4150557219982147,0.40236058831214905
0.4050455093383789,0.4068673849105835
0.3950357437133789,0.39405393600463867
0.3850264251232147,0.39134305715560913
0.37501761317253113,0.383312851190567
0.3650091588497162,0.3751801550388336
0.3550012409687042,0.36816513538360596
0.3449936807155609,0.3625483214855194
0.33498650789260864,0.35536375641822815
0.3249797523021698,0.3581649959087372
0.314973384141922,0.3451111912727356
0.30496737360954285,0.33120855689048767
0.29496169090270996,0.33145859837532043
0.28495633602142334,0.3133053481578827
0.27495133876800537,0.2929908037185669
0.2649466395378113,0.2929908037185669
0.25494226813316345,0.28645992279052734
0.24493813514709473,0.2848571538925171
0.23493432998657227,0.2723885178565979
0.22493073344230652,0.2563329339027405
0.21492743492126465,0.24804037809371948
0.20492435991764069,0.2434059977531433
0.19492152333259583,0.2339920848608017
0.18491891026496887,0.22237911820411682
0.17491650581359863,0.21575136482715607
0.1649143099784851,0.22385109961032867
0.15491227805614471,0.20100626349449158
0.14491046965122223,0.1963586062192917
0.13490881025791168,0.1896049678325653
0.12490732967853546,0.17241956293582916
0.11490605026483536,0.16351911425590515
0.10490485280752182,0.1360480934381485
0.09490383416414261,0.11702468991279602
0.08490291237831116,0.13345779478549957
0.07490214705467224,0.09948605298995972
0.0649014562368393,0.09948605298995972
0.05490097030997276,0.12781654298305511
0.044900473207235336,0.30459412932395935
