Tau_CM,Tau_DH
0.5394417643547058,5.0
0.5294254422187805,5.0
0.519409716129303,0.44141489267349243
0.509394645690918,0.4722089469432831
0.4993802011013031,0.4563751518726349
0.4893663823604584,0.45359867811203003
0.479353129863739,0.4660448729991913
0.4693404734134674,0.4602166712284088
0.4593283236026764,0.42932039499282837
0.44931674003601074,0.42932039499282837
0.43930569291114807,0.4446890950202942
0.429295152425766,0.38019439578056335
0.4192851185798645,0.43854090571403503
0.4092755913734436,0.3812333345413208
0.39926645159721375,0.39402762055397034
0.38925784826278687,0.4053196609020233
0.379249632358551,0.4021936058998108
0.3692418336868286,0.3890526592731476
0.35923445224761963,0.39099422097206116
0.3492274880409241,0.39669427275657654
0.33922088146209717,0.3944069743156433
0.3292146921157837,0.3921222984790802
0.3192087709903717,0.38926878571510315
0.30920323729515076,0.3502565324306488
0.29919806122779846,0.35874664783477783
0.28919315338134766,0.3695414066314697
0.2791885733604431,0.28553470969200134
0.26918426156044006,0.3151136040687561
0.2591802477836609,0.30264949798583984
0.2491765022277832,0.31532928347587585
0.23917299509048462,0.321329265832901
0.22916977107524872,0.3254769742488861
0.21916674077510834,0.3254769742488861
0.20916393399238586,0.3409983813762665
0.1991613507270813,0.37538522481918335
0.18915897607803345,0.43366965651512146
0.17915679514408112,0.30596330761909485
0.1691548228263855,0.3895087242126465
0.159153014421463,0.3023546040058136
0.14915132522583008,0.27252790331840515
0.13914982974529266,0.25942426919937134
0.1291484832763672,0.267722487449646
0.11914732307195663,0.2795734703540802
0.10914620757102966,0.290692001581192
0.09914530813694,0.300558477640152
0.08914449065923691,0.31905511021614075
0.07914372533559799,0.41900435090065
0.0691431537270546,0.41965895891189575
0.05914262682199478,0.41965895891189575
0.0491422638297081,0.3530094623565674
