Tau_CM,Tau_DH
0.5388275384902954,5.0
0.5288088917732239,5.0
0.5187907814979553,0.3889000117778778
0.5087734460830688,0.404414564371109
0.4987567663192749,0.39112216234207153
0.4887407124042511,0.3852885365486145
0.47872528433799744,0.3852885365486145
0.4687105417251587,0.3633328974246979
0.4586963951587677,0.37070557475090027
0.4486828148365021,0.3524654507637024
0.4386698603630066,0.35757002234458923
0.4286574423313141,0.3467142581939697
0.41864559054374695,0.33566927909851074
0.4086343050003052,0.33218276500701904
0.398623526096344,0.31687742471694946
0.3886132538318634,0.3083737790584564
0.3786034882068634,0.31835731863975525
0.3685941994190216,0.31387484073638916
0.358585387468338,0.31387484073638916
0.34857702255249023,0.3035098612308502
0.3385690748691559,0.2917778789997101
0.32856157422065735,0.29514122009277344
0.31855446100234985,0.2821787893772125
0.3085477650165558,0.2756611704826355
0.29854142665863037,0.2752439081668854
0.2885355055332184,0.26525405049324036
0.2785298526287079,0.26899653673171997
0.2685246169567108,0.26505666971206665
0.25851970911026,0.25258493423461914
0.24851509928703308,0.24689164757728577
0.23851075768470764,0.2462632954120636
0.22850675880908966,0.23720824718475342
0.21850301325321198,0.22866639494895935
0.20849955081939697,0.2283683717250824
0.19849634170532227,0.22737298905849457
0.18849338591098785,0.22791162133216858
0.17849065363407135,0.20896723866462708
0.16848815977573395,0.2181124985218048
0.15848585963249207,0.20114482939243317
0.1484837532043457,0.19035020470619202
0.13848187029361725,0.18651291728019714
0.12848016619682312,0.18700376152992249
0.11847862601280212,0.17335012555122375
0.10847730934619904,0.1712377667427063
0.09847605973482132,0.17149752378463745
0.0884750708937645,0.15312936902046204
0.07847413420677185,0.1390313357114792
0.06847337633371353,0.12399759143590927
0.05847270414233208,0.11092308908700943
0.04847218841314316,0.09319491684436798
