Tau_CM,Tau_DH
0.4836951196193695,5.0
0.4836951196193695,5.0
0.47368043661117554,0.3924841284751892
0.4636664092540741,0.4392783045768738
0.453652948141098,0.3659799098968506
0.4436401426792145,0.40420082211494446
0.4336279332637787,0.3837827146053314
0.42361629009246826,0.3704080879688263
0.4136052429676056,0.3711337447166443
0.4035947024822235,0.36489346623420715
0.3935847282409668,0.36393508315086365
0.3835752308368683,0.34649771451950073
0.373566210269928,0.34966063499450684
0.36355769634246826,0.3400830328464508
0.35354965925216675,0.3354986310005188
0.3435420095920563,0.31256937980651855
0.33353477716445923,0.321514755487442
0.323527991771698,0.3058485686779022
0.3135216236114502,0.29374831914901733
0.30351558327674866,0.2944621443748474
0.2835046350955963,0.28205522894859314
0.2835046350955963,0.2865101099014282
0.27349966764450073,0.2620963454246521
0.2634950280189514,0.2709886431694031
0.25349071621894836,0.25595924258232117
0.243486687541008,0.24807876348495483
0.2334829419851303,0.24474413692951202
0.2234794646501541,0.23844602704048157
0.2134762406349182,0.2396518588066101
0.20347322523593903,0.23859640955924988
0.19347049295902252,0.22967655956745148
