Tau_CR,Tau_DH
0.33499982953071594,5.0
0.33499982953071594,0.6334174871444702
0.32501381635665894,0.4946998059749603
0.3150256872177124,0.507915735244751
0.30503568053245544,0.543704628944397
0.2950438857078552,0.4289088845252991
0.28505057096481323,0.537274956703186
0.27505576610565186,0.49975574016571045
0.2650597095489502,0.5122876167297363
0.25506237149238586,0.7641620635986328
0.2450641691684723,0.4985968768596649
0.23506496846675873,0.3895038962364197
0.2250649631023407,0.5031436681747437
0.21506425738334656,0.45068690180778503
0.20506298542022705,0.39782729744911194
0.19506105780601501,0.3960401117801666
0.18505878746509552,0.33230969309806824
0.1750563085079193,0.45863044261932373
0.16505326330661774,0.36263999342918396
0.1550501585006714,0.35685300827026367
0.1450469046831131,0.4798728823661804
