Tau_CR,Tau_DH
0.3331373929977417,5.0
0.3331373929977417,0.478309690952301
0.3231242001056671,0.4680545926094055
0.31311166286468506,0.4276833236217499
0.30309978127479553,0.4800682067871094
0.29308849573135376,0.4774605333805084
0.2830778658390045,0.43388253450393677
0.2730678915977478,0.41965022683143616
0.26305848360061646,0.38673022389411926
0.2530496120452881,0.39299485087394714
0.24304138123989105,0.3950226604938507
0.233033686876297,0.32852277159690857
0.22302651405334473,0.38121122121810913
0.21301980316638947,0.30580636858940125
0.2030135691165924,0.3667377233505249
0.19300782680511475,0.35193029046058655
0.1830025166273117,0.2884790301322937
0.1729976385831833,0.30985134840011597
0.16299310326576233,0.24348971247673035
0.1529889851808548,0.29742857813835144
0.1429852545261383,0.31786367297172546
